sx_var_name,sx_var_label,sx_var_type
su_id,"ENTER SU_ID TO TEST
","string(str8)
"
numpars1,"11.1 Thinking back to the last time you were here for an interview, that is sinc
","numeric(byte)
"
numpars2,"Remember, everything you tell me is confidential. Think carefully since your las
","numeric(byte)
"
numpartners,"13.1 {#numpartext} you said you thought you had sex with {#NUMPARS1} {peop1} sin
","numeric(byte)
"
spalter,"(unlabeled)
","numeric(double)
"
sp_allcfyn,"Has this partner been a confidant in any wave?
","numeric(byte)
"
sp_allcf,"(unlabeled)
","numeric(double)
"
sp_pastcf,"(unlabeled)
","numeric(double)
"
sp_pastcfyn,"Was this partner a confidant in a previous wave?
","numeric(double)
"
sp_pastspyn,"Was this partner a sex partner in a previous wave?
","numeric(double)
"
sp_pastsp,"(unlabeled)
","numeric(double)
"
spmatchconfname,"(unlabeled)
","numeric(double)
"
spmatchpastspname,"(unlabeled)
","string(str47)
"
conf,"Which current confidant matches this sex partner?
","string(str20)
"
yn,"Is this partner a current confidant in this wave?
","numeric(double)
"
lastsex_month,"(unlabeled)
","numeric(double)
"
lastsex_year,"(unlabeled)
","numeric(double)
"
lastsexdt,"(unlabeled)
","numeric(double)
"
lastsexlt,"(unlabeled)
","numericdailydate(double)
"
numsex,"(unlabeled)
","numeric(double)
"
numhadsex,"(unlabeled)
","numeric(double)
"
firstsex_month,"(unlabeled)
","numeric(double)
"
firstsex_year,"(unlabeled)
","numeric(double)
"
firstsexdt,"(unlabeled)
","numeric(double)
"
firstsexlt,"(unlabeled)
","numericdailydate(double)
"
overlap,"(unlabeled)
","numeric(double)
"
haveprimary,"20. Are you currently in a relationship with someone who you consider your main 
","numeric(double)
"
pickprimary,"21. What is their name?
","numeric(byte)
"
isprimary,"RECODE of pickprimary (21. What is their name?)
","numeric(byte)
"
partnersex,"(unlabeled)
","numeric(byte)
"
partnertrans,"(unlabeled)
","numeric(double)
"
sp1_sexpair,"(unlabeled)
","numeric(double)
"
sp2_sexpair,"(unlabeled)
","numeric(double)
"
sp3_sexpair,"(unlabeled)
","numeric(double)
"
sp4_sexpair,"(unlabeled)
","numeric(double)
"
sp5_sexpair,"(unlabeled)
","numeric(double)
"
sp6_sexpair,"(unlabeled)
","numeric(double)
"
partnertype,"(unlabeled)
","numeric(double)
"
knowfamily,"(unlabeled)
","numeric(double)
"
knowfriends,"(unlabeled)
","partnertype
"
sex12hours,"(unlabeled)
","
"
sexexpect,"(unlabeled)
","numeric(double)
"
howmeet,"(unlabeled)
","numeric(double)
"
howmeetwho,"(unlabeled)
","numeric(double)
"
howmeetapp,"(unlabeled)
","numeric(double)
"
howmeet_othspec,"(unlabeled)
","numeric(double)
"
wheremeet,"(unlabeled)
","numeric(double)
"
spsexprefmen,"(unlabeled)
","numeric(double)
"
spsexpreftranswn,"(unlabeled)
","string(str131),butlongestisstr0
"
spsexprefwomen,"(unlabeled)
","numeric(double)
"
spsexprefoth,"(unlabeled)
","numeric(double)
"
spsexprefdk,"(unlabeled)
","numeric(double)
"
spsexprefref,"(unlabeled)
","numeric(double)
"
spsexpref_othspec,"(unlabeled)
","numeric(double)
"
sexothers,"(unlabeled)
","numeric(double)
"
sphivstatus,"(unlabeled)
","numeric(double)
"
spdiscusshiv,"(unlabeled)
","string(str13),butlongestisstr0
"
rdiscusshiv,"(unlabeled)
","numeric(double)
"
sporalsexfreq,"(unlabeled)
","numeric(double)
"
spvaginalsexfreq,"(unlabeled)
","numeric(double)
"
spvagcondomfreq,"(unlabeled)
","numeric(double)
"
spbcontrolfreq,"(unlabeled)
","numeric(double)
"
spanalsexfreq,"(unlabeled)
","numeric(double)
"
spanalontopfreq,"(unlabeled)
","numeric(double)
"
spnumanalsex,"(unlabeled)
","numeric(double)
"
spanalcondomfreq,"(unlabeled)
","numeric(double)
"
sexpgroupsex,"(unlabeled)
","numeric(double)
"
spgroupsexfreq,"(unlabeled)
","numeric(double)
"
spsexsubstancefreq,"(unlabeled)
","numeric(double)
"
spsexdrugsalchl,"(unlabeled)
","numeric(double)
"
spsexdrugsmarij,"(unlabeled)
","numeric(double)
"
spsexdrugse,"(unlabeled)
","numeric(double)
"
spsexdrugspoppers,"(unlabeled)
","numeric(double)
"
spsexdrugscoke,"(unlabeled)
","numeric(double)
"
spsexdrugsheroin,"(unlabeled)
","numeric(double)
"
spsexdrugspsych,"(unlabeled)
","numeric(double)
"
spsexdrugsmeth,"(unlabeled)
","numeric(double)
"
spsexdrugspresc,"(unlabeled)
","numeric(double)
"
spsexdrugsoth,"(unlabeled)
","numeric(double)
"
spsexdrugsdk,"(unlabeled)
","numeric(double)
"
spsexdrugsref,"(unlabeled)
","numeric(double)
"
givesexpay,"(unlabeled)
","numeric(double)
"
gavepaytypedrugs,"(unlabeled)
","numeric(double)
"
gavepaytypemoney,"(unlabeled)
","numeric(double)
"
gavepaytypeshelter,"(unlabeled)
","numeric(double)
"
gavepaytypeother,"(unlabeled)
","numeric(double)
"
gavepaytypedk,"(unlabeled)
","gavepaytypedrugs,but2nonmissingvaluesarenotlabeled
"
gavepaytyperef,"(unlabeled)
","
"
gavepaytype_othspec,"(unlabeled)
","numeric(double)
"
getsexpay,"(unlabeled)
","gavepaytypemoney,but2nonmissingvaluesarenotlabeled
"
gotosexnet,FOR TESTING ONLY:,"
"
gotpaytypedrugs,"(unlabeled)
","numeric(double)
"
gotpaytypemoney,"(unlabeled)
","gavepaytypeshelter,but2nonmissingvaluesarenotlabeled
"
gotpaytypeshelter,"(unlabeled)
","
"
gotpaytypeother,"(unlabeled)
","numeric(double)
"
gotpaytypedk,"(unlabeled)
","gavepaytypeother,but2nonmissingvaluesarenotlabeled
"
gotpaytyperef,"(unlabeled)
","
"
gotpaytype_othspec,"(unlabeled)
","numeric(double)
"
gotpaytype_foodandalcohol_vltrd,"Received Food or Alchol In Exchange For Sex (VOLUNTEERED)
","gavepaytypedk,but2nonmissingvaluesarenotlabeled
"
gotpaytype_personalgoods_vltrd,"Received Personal Goods In Exchange For Sex (VOLUNTEERED)
","
"
spothpartner6mo,"(unlabeled)
","numeric(double)
"
spothpartnersexmen,"(unlabeled)
","gavepaytyperef,but1nonmissingvalueisnotlabeled
"
spothpartnersextranswn,"(unlabeled)
","
"
spothpartnersexwomen,"(unlabeled)
","string(str29)
"
spothpartnersexoth,"(unlabeled)
","
"
spothpartnersexdk,"(unlabeled)
","numeric(double)
"
spothpartnersexref,"(unlabeled)
","numeric(byte)
"
partnercomm,"(unlabeled)
","numeric(double)
"
partnerfb,"(unlabeled)
","gotpaytypedrugs,but2nonmissingvaluesarenotlabeled
"
partnerage,"(unlabeled)
","
"
sphigradesomehs,"(unlabeled)
","numeric(double)
"
sphigradehsgrad,"(unlabeled)
","gotpaytypemoney,but2nonmissingvaluesarenotlabeled
"
sphigradesomecollege,"(unlabeled)
","
"
sphigrade2yrdegree,"(unlabeled)
","numeric(double)
"
